drugbank_id,interactant_id,name,organism,known_action
DB14543,BE0003645,Organic anion transporter 3,Humans,unknown
DB14544,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB14544,BE0003642,Solute carrier organic anion transporter family member 1A2,Humans,unknown
DB14544,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,unknown
DB14544,BE0003645,Organic anion transporter 3,Humans,unknown
DB14548,BE0009884,Zinc transporter ZIP10,Humans,unknown
DB14548,BE0009885,Zinc transporter 7,Humans,unknown
DB14548,BE0009886,Probable proton-coupled zinc antiporter SLC30A4,Humans,unknown
DB14548,BE0009887,Zinc transporter ZIP6,Humans,unknown
DB14548,BE0009888,Zinc transporter ZIP5,Humans,unknown
DB14548,BE0009889,Zinc transporter ZIP2,Humans,unknown
DB14548,BE0009890,"Proton-coupled zinc antiporter SLC30A9, mitochondrial",Humans,unknown
DB14548,BE0009891,Proton-coupled zinc antiporter SLC30A1,Humans,unknown
DB14548,BE0009892,Proton-coupled zinc antiporter SLC30A2,Humans,unknown
DB14548,BE0009893,Zinc transporter SLC39A7,Humans,unknown
DB14548,BE0009894,Zinc transporter ZIP4,Humans,unknown
DB14548,BE0009895,Probable proton-coupled zinc antiporter SLC30A3,Humans,unknown
DB14548,BE0009896,Proton-coupled zinc antiporter SLC30A8,Humans,unknown
DB14548,BE0009897,Zinc transporter ZIP12,Humans,unknown
DB14548,BE0009898,Proton-coupled zinc antiporter SLC30A5,Humans,unknown
DB14548,BE0009899,Calcium/manganese antiporter SLC30A10,Humans,unknown
DB14548,BE0009900,Zinc transporter ZIP13,Humans,unknown
