drugbank_id,reaction_id,enzyme_drugbank_id,uniprot_id
DB09039,DB09039_rxn_3,BE0002363,P10635
DB09039,DB09039_rxn_4,BE0002638,P08684
DB09048,DB09048_rxn_0,BE0003550,Q9HB55
DB09048,DB09048_rxn_1,BE0003550,Q9HB55
DB09054,DB09054_rxn_0,BE0003539,Q06278
DB09054,DB09054_rxn_0,BE0004866,P08684
DB09068,DB09068_rxn_0,BE0002363,P10635
DB09068,DB09068_rxn_0,BE0002793,P11712
DB09068,DB09068_rxn_1,BE0002363,P10635
DB09068,DB09068_rxn_1,BE0002793,P11712
DB09068,DB09068_rxn_2,BE0002793,P11712
DB09068,DB09068_rxn_2,BE0003536,P33261
DB09068,DB09068_rxn_2,BE0003549,P20813
DB09068,DB09068_rxn_3,BE0002363,P10635
DB09072,DB09072_rxn_0,BE0008675,Q8IWW8
DB09072,DB09072_rxn_1,BE0000008,Q13423
DB09072,DB09072_rxn_2,BE0000152,P51649
DB09073,DB09073_rxn_0,BE0002638,P08684
DB09073,DB09073_rxn_1,BE0002638,P08684
DB09073,DB09073_rxn_2,BE0002638,P08684
DB09073,DB09073_rxn_3,BE0002638,P08684
DB09073,DB09073_rxn_4,BE0002638,P08684
DB09073,DB09073_rxn_5,BE0002638,P08684
DB09073,DB09073_rxn_7,BE0002638,P08684
DB09073,DB09073_rxn_8,BE0002638,P08684
DB09073,DB09073_rxn_9,BE0000886,Q06520
DB09073,DB09073_rxn_10,BE0002638,P08684
DB09073,DB09073_rxn_11,BE0002638,P08684
DB09073,DB09073_rxn_12,BE0002638,P08684
DB09073,DB09073_rxn_13,BE0002638,P08684
DB09074,DB09074_rxn_2,BE0002638,P08684
DB09074,DB09074_rxn_2,BE0002362,P20815
DB09076,DB09076_rxn_0,BE0002363,P10635
DB09076,DB09076_rxn_1,BE0002363,P10635
DB09079,DB09079_rxn_1,BE0002638,P08684
DB09079,DB09079_rxn_2,BE0003541,P22309
DB09079,DB09079_rxn_2,BE0004695,Q9HAW7
DB09079,DB09079_rxn_2,BE0003682,Q9HAW9
DB09079,DB09079_rxn_2,BE0003678,Q9HAW8
DB09080,DB09080_rxn_0,BE0002793,P11712
DB09080,DB09080_rxn_0,BE0002887,P10632
DB09084,DB09084_rxn_1,BE0002363,P10635
DB09112,DB09112_rxn_0,BE0000130,P69905
DB09112,DB09112_rxn_0,BE0000629,P68871
DB09112,DB09112_rxn_1,BE0000130,P69905
DB09112,DB09112_rxn_1,BE0000629,P68871
DB09116,DB09116_rxn_0,BE0001207,P04040
DB09117,DB09117_rxn_1,BE0000133,P05091
DB09128,DB09128_rxn_0,BE0002638,P08684
DB09128,DB09128_rxn_0,BE0002363,P10635
DB09173,DB09173_rxn_0,BE0002638,P08684
DB09173,DB09173_rxn_0,BE0002363,P10635
DB09173,DB09173_rxn_1,BE0002638,P08684
DB09173,DB09173_rxn_2,BE0002638,P08684
DB09173,DB09173_rxn_4,BE0002363,P10635
DB09173,DB09173_rxn_4,BE0002638,P08684
DB09185,DB09185_rxn_0,BE0002363,P10635
DB09185,DB09185_rxn_1,BE0003538,O60656
DB09185,DB09185_rxn_1,BE0004696,P54855
DB09185,DB09185_rxn_2,BE0003538,O60656
DB09185,DB09185_rxn_2,BE0004696,P54855
DB09205,DB09205_rxn_0,BE0002180,P06276
DB09205,DB09205_rxn_1,BE0004866,P08684
DB09212,DB09212_rxn_0,BE0003074,P16152
DB09212,DB09212_rxn_1,BE0003074,P16152
DB09213,DB09213_rxn_0,BE0002793,P11712
DB09213,DB09213_rxn_0,BE0002887,P10632
DB09213,DB09213_rxn_1,BE0002793,P11712
DB09213,DB09213_rxn_1,BE0002887,P10632
DB09223,DB09223_rxn_0,BE0002638,P08684
DB09223,DB09223_rxn_1,BE0002638,P08684
DB09223,DB09223_rxn_2,BE0002638,P08684
DB09223,DB09223_rxn_3,BE0002638,P08684
DB09223,DB09223_rxn_4,BE0003541,P22309
DB09223,DB09223_rxn_5,BE0003541,P22309
DB09223,DB09223_rxn_6,BE0002638,P08684
DB09223,DB09223_rxn_7,BE0002638,P08684
DB09225,DB09225_rxn_0,BE0003543,P04798
DB09225,DB09225_rxn_0,BE0002433,P05177
DB09225,DB09225_rxn_0,BE0002638,P08684
DB09225,DB09225_rxn_0,BE0002362,P20815
DB09225,DB09225_rxn_0,BE0003549,P20813
DB09225,DB09225_rxn_0,BE0003536,P33261
DB09225,DB09225_rxn_1,BE0002638,P08684
DB09225,DB09225_rxn_2,BE0002433,P05177
DB09225,DB09225_rxn_3,BE0003543,P04798
DB09225,DB09225_rxn_3,BE0002433,P05177
DB09225,DB09225_rxn_3,BE0002638,P08684
DB09225,DB09225_rxn_3,BE0002363,P10635
DB09225,DB09225_rxn_3,BE0003536,P33261
DB09225,DB09225_rxn_4,BE0003543,P04798
DB09225,DB09225_rxn_4,BE0002433,P05177
DB09225,DB09225_rxn_4,BE0003549,P20813
DB09225,DB09225_rxn_4,BE0002638,P08684
DB09225,DB09225_rxn_4,BE0002362,P20815
DB09227,DB09227_rxn_0,BE0002638,P08684
DB09227,DB09227_rxn_0,BE0002362,P20815
DB09227,DB09227_rxn_0,BE0003612,P24462
DB09227,DB09227_rxn_0,BE0003550,Q9HB55
DB09227,DB09227_rxn_1,BE0002638,P08684
DB09227,DB09227_rxn_1,BE0002362,P20815
DB09227,DB09227_rxn_1,BE0003612,P24462
DB09227,DB09227_rxn_1,BE0003550,Q9HB55
DB09227,DB09227_rxn_2,BE0002638,P08684
DB09227,DB09227_rxn_2,BE0002362,P20815
DB09227,DB09227_rxn_2,BE0003612,P24462
DB09227,DB09227_rxn_2,BE0003550,Q9HB55
DB09227,DB09227_rxn_3,BE0002638,P08684
DB09227,DB09227_rxn_3,BE0002362,P20815
DB09227,DB09227_rxn_3,BE0003612,P24462
DB09227,DB09227_rxn_3,BE0003550,Q9HB55
DB09227,DB09227_rxn_4,BE0002638,P08684
DB09227,DB09227_rxn_4,BE0002362,P20815
DB09227,DB09227_rxn_4,BE0003612,P24462
DB09227,DB09227_rxn_4,BE0003550,Q9HB55
DB09231,DB09231_rxn_0,BE0002638,P08684
DB09231,DB09231_rxn_0,BE0002362,P20815
DB09231,DB09231_rxn_1,BE0002638,P08684
DB09231,DB09231_rxn_1,BE0002362,P20815
DB09237,DB09237_rxn_0,BE0002638,P08684
DB09256,DB09256_rxn_0,BE0003336,P11509
DB09274,DB09274_rxn_1,BE0003538,O60656
DB09274,DB09274_rxn_1,BE0003679,P16662
DB09282,DB09282_rxn_0,BE0000182,O76074
DB09288,DB09288_rxn_0,BE0002180,P06276
DB09288,DB09288_rxn_1,BE0002180,P06276
DB09291,DB09291_rxn_0,BE0002638,P08684
DB09298,DB09298_rxn_0,BE0002887,P10632
